[CTRL] Starting...
[CTRL] Output dir: /home/diya/wildfire_sim/data_seed6/thermal_delay_50ms
[CTRL] TEMP_THRESHOLD=100.0  TIME_WINDOW=0.5s  (pair dt must be <= 0.5s AND <= 2000.0ms sync threshold)
[CTRL] Monitor: window=10.0s  stop_if_drop>50%
[MONITOR] up=592026s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592036s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592046s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592056s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592066s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592076s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592086s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592096s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592106s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592116s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592126s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592136s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592146s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592156s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592166s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592176s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592186s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592196s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592206s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592216s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592226s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592236s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592246s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592256s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592266s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592276s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592286s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592296s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592306s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592316s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592326s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592336s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592346s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592356s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592366s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592376s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592386s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592396s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592406s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592416s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592426s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592436s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592446s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592456s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592466s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592476s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592486s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592496s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592506s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592516s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592526s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592536s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592546s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592556s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592566s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592576s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592586s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592596s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592606s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592616s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592626s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592636s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592646s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592656s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592666s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592676s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592686s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592696s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592706s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592716s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592726s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592736s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592746s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592756s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592766s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592776s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592786s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592796s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592806s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592816s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592826s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592836s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592846s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592856s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592866s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592876s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592886s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592896s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592906s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592916s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592926s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592936s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592946s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592956s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592966s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592976s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592986s window=10s thermal=not_started imagery=not_started
[MONITOR] up=592996s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593006s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593016s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593026s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593036s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593046s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593056s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593066s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593076s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593086s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593096s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593106s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593116s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593126s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593136s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593146s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593156s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593166s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593176s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593186s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593196s window=10s thermal=not_started imagery=not_started
[MONITOR] up=593206s window=10s thermal=not_started imagery=not_started
